ID	Reference	Title	Year	Authors	doi	Experimental_Setup	Preprocessing_reported	Inclusion_1	Reason_exclusion_1	Open_data_1	Screening_1	Notes_1	Inclusion_2	Reason_exclusion_2	Open_data_2	Screening_2	Notes_2	Inclusion_final	Reason_final
304	"Cheetham, E. (2014). The neural networks recruited during visual feature 
 binding (Doctoral dissertation, Cardiff University)."		2014					0	no RT data for visual Simon effect		HL		0			EB		0	No RT data
305	"Johnson, M. H., Munakata, Y., & Gilmore, R. O. (1993). A Model System for 
 Studying the Role of Dopamine in Prefiontal Cortex During Earb Development in Humans."		1993					0			JW		0			HL		0	Book chapter without empirical data
306	"Polzien, A., Güldenpenning, I., & Weigelt, M. (2021). Examining the
 Perceptual-Cognitive Mechanism of Deceptive Actions in Sports. Experimental Psychology."		2021	Polzien, A., Güldenpenning, I., & Weigelt, M. 	https://doi.org/10.1027/1618-3169/a000503	videos of dynamic head-fake effect in basketball		0	head-fake effect in basketball		EP		0			BB_JPR	no access	0	No Simon task
307	"Deacon-Elliott, D. L. (1988). Speed of decision-making following closed 
 head injury: The effects of speed-accuracy tradeoff on P300 and reaction time (Doctoral dissertation, University of Ottawa (Canada))."		1988					0			JW		0			HL		0	No healthy young adults
308	"Miles, J. D., & Proctor, R. W. (2010). Attention is required for acquisition but 
 not expression of new response biases. Journal of experimental psychology: learning, memory, and cognition, 36(6), 1554."		2010	Miles, J.D., & Proctor, R.W.				1			JW	auditory Simon task	0	Auditory stimuli		EB		0	Auditory Simon task
309	"Schönherr, J. (2019). Mindreading for Cooperation: a moderately minimalist
 approach (Doctoral dissertation, University of Maryland, College Park)."		2019					0	no empirical article		HL		0	don't have access to the whole document		EB		0	Review
310	"Mosso, M., Freudenberg, A., McCracken, K., & McGivern, R. F. (2020). 
 Sex differences in implicit processing of allocentric relationships between objects and location in a Simon task. Plos one, 15(7), e0235964."	Sex differences in implicit processing of allocentric relationships between objects and location in a Simon task.	2020	Mosso, M., Freudenberg, A., McCracken, K., & McGivern, R. F.	https://doi.org/10.1371/journal.pone.0235964	"Stimulus presentation software was developed by Eugene Terehov (https://www.linkedin.com/in/eterehov) and the program was run on an Apple iMac with a 24” screen. Stimuli were created in Adobe Illustrator (version CS4) and saved in a Portable Network Graphics format. The application and the stimuli employed are available at no cost for non-commercial research purposes by contacting the corresponding author.
 
 The task employed an equilateral triangle that pointed toward the left or right side of the computer screen. Participants were instructed to respond to a triangle that pointed to the left side of the screen by pressing the ‘q’ key with their left hand and to a right pointing triangle by pressing the ‘p’ key with their right hand. This created stimulus–response trials that were congruent (i.e., when a right pointing triangle was on the right side of the screen, which required a right hand response) and incongruent (i.e., when a left pointing stimulus was on the right side of the screen, which required a left hand response).
 
 The computer screen was centered at eye level at a distance of approximately 50 centimeters. Stimuli were presented in one of two locations on each side of a plus sign that served as a central fixation point. The screen presentation area for the task was 19.5cm x 19.5cm, with a white background. The fixation point was a plus sign comprised of black lines that were 14mm in length with a thickness of 0.75mm. The equilateral triangle used as a stimulus was dark gray in color (RGB settings: 133, 130,128) and 18mm2 in area. The triangle was employed instead of an arrow because it contained less salient semantic information related to direction.
 
 At the beginning of each version, participants were presented with 20 practice trials used to familiarize them with the response keys, as well as to obtain simple RT for left and right responses. On these trials, a 15 mm diameter black circle was shown for 400milliseconds (ms) to the right or left of center at a visual angle of 6° for 20 trials. If the circle appeared on the left, they were instructed to press the q key; if on the right they were to press the p key. All trials began with the appearance of the plus sign for 400ms, followed by a variable interval (350–750ms) before the stimulus appeared for 400ms. The next trial began 500ms after the participant’s response. The plus sign remained on the screen between trials and disappeared only when a pop-up screen appeared after each set of 20 trials to indicate that the participant could take a break. Trails were resumed once the participant pressed the space bar.
 
 Following the practice trials, participants were told they would see a triangle appear on the right or left part of the screen and use the keys to indicate if the triangle pointed to the right or left side of the computer screen. In the first version (No Box), the triangle appeared to the right or left of the fixation point in one of the two horizontal positions on each side. The visual angle of the outer position was 8° and the inner position 5°. The eighty experimental trials were presented in a pseudorandom order that varied by position relative to the plus sign (inner vs outer), arrow direction (pointing left vs right) and side of presentation (left or right).
 
 In the second version (Box), the identical procedures were used, but a square box frame surrounded the visual field for the inner and outer positions for triangle appearance in each visual hemi field. Thus, the stimulus was aligned with the left or right side of the box, separated from the edge by 3mm. The second version also included the 20 practice trials. All participants were tested in both versions, with order of presentation counterbalanced within sex. The congruent and incongruent stimuli for both versions of the Simon tasks are depicted in Fig 1."	yes	1		yes	ME		1			LS_LW		1	
311	"Schnabel, U. H., Van der Bijl, T., Roelfsema, P. R., & Lorteije, J. A. (2021). 
 A Direct Comparison of Spatial Attention and Stimulus–Response Compatibility between Mice and Humans. Journal of Cognitive Neuroscience, 33(5), 771-783."		2021	Schnabel, U. H., Van der Bijl, T., Roelfsema, P. R., & Lorteije, J. A.	https://doi.org/10.1162/jocn_a_01681	Simon effect, Humans vs mice		1	Humans vs mice. Too small sample (n = 7 in humans)		EP		1		no information	BB_JPR	most of the paper compares humans to mice but there is a part about the classical simon effect	1	
312	"Ragot, R., & Remond, A. (1979). Electrophysiology and Applied 
 Neurophysiology Laboratory Salpetriere Hospital, 75634 Paris Cedex 13 (France). Human Evoked Potentials: Applications and Problems, 9, 303."		1979					0			JW		0			HL		0	duplicates 164
313	"Cho, D. (2009). Within-and between-hand correspondence effects for objects
 with protruding left and right components (Doctoral dissertation, Purdue University)."		2009					0	masters dissertation		JW		0	Stimulus location not varied (object shape varied)		EB		0	No stimulus response compatibility
314	"Sutherland, M. T. (2007). Anterior cingulate cortex, medial frontal negativity
 and preceding context: Assessing an EEG-based neural correlate of performance monitoring during a Stroop task. The University of New Mexico."		2007					0	doctoral dissertation	doctoral dissertation	ME	this cites Simons but does not use it or test it. Doctoral dissertation	0			LS_LW		0	Dissertation
315	"DOWNER, T. B. (1973). EFFECTS OF STIMULUS ONSET ASYNCHRONY OF
 AN IRRELEVANT AUDITORY STIMULUS ON VISUAL CHOICE REACTION-TIME (Doctoral dissertation, Baylor University)."		1973					0			JW		0			HL		0	Dissertation
316	"Saby, J. N. (2014). Exploring Social Influences on Executive Function in 
 Preschool Children (Doctoral dissertation, Temple University. Libraries)."		2014					0	doctoral dissertation		JW		0	children sample, no adult control group		EB		0	No healthy young adults
317	"GREGA, D. M. (1983). STUDIES OF THE PERCEIVER BIAS (FACIAL SIDE,
 HANDEDNESS, DOMINANCE) (Doctoral dissertation, New York University)."		1983					0			JW		0			HL		0	Dissertation
318	Heijnen, S. The effect of human-robot synchronization on the tendency to anthropomorphize.							0			HL	duplicates 240	0					0	duplicates 240
319	"McFeaters, C. D., & Voyer, D. (2021). Identifying spatial effects in a lateralized
 duration estimation task. Laterality, 1-31."		2021					0	auditory Simon effect		HL		0			EB	i don't totally have access to this but the abstract appears ok	0	Auditory Simon task
320	"Spruyt, A., & De Houwer, J. (2017). On the automaticity of relational stimulus
 processing: The (extrinsic) relational Simon task. PloS one, 12(10), e0186606."		2017					0	"no visual spatial Simon task, judge whether
two words presented in same font"		HL		0			EB		0	No Simon task
321	"Evans, N. J., & Servant, M. (2020). A model-based approach to disentangling
 facilitation and interference effects in conflict tasks."		2020					0	"reanalysis of existing data,
modelled facilitation vs. interference effects"		HL		0	cognitive modeling of data, no data collection in study		EB		0	No RT data
322	"Ceballos, J. M. (2017). How does preparation influence cognitive control?
 Informative cues guide cortico-subcortical systems for conflict resolution (Doctoral dissertation)."		2017	Ceballos, J. M. 	https://digital.lib.washington.edu/researchworks/handle/1773/38680			0	Doctoral dissertation		EP		0	not a Simon task (POP task)		DFD_KM		0	No Simon task
323	"Magen, H. (2019). The accessory Simon effect within and across visual 
 dimensions. Quarterly Journal of Experimental Psychology, 72(5), 981-993."		2019					0	"accessory Simon effect using distractors on
either side of the target"		HL		0			EB		0	Accessory Simon task
324	"Egerer, D. (2012). Automatic processing of space and valence in a semantic
 categorization task (Doctoral dissertation, uniwien)."		2012					0	doctoral dissertation		JW		0	simon task only mentioned, but not conducted		EB		0	No Simon task
325	"Hoyo Ramiro, Á. V. (2020). Development of executive function and social
 cognition and its relation with prejudice toward minority groups."		2020					0	children		HL		0			EB	appears this should work given the congruent versus incongruent trials	0	No healthy young adults
326	Dutilh, G. (2012). The temporal dynamics of speeded decision making.							0			HL	duplicates 303	0					0	duplicates 303
327	"Kotov, A., Gordienko, E., Vlasova, E., & Kotova, T. (2017). Object Orientation 
 Effect on Touch Screens in Adults and Children. The Russian Journal of Cognitive Science, 4(2-3), 37."		2017	Kotov, A., Gordienko, E., Vlasova, E., & Kotova, T.	http://www.cogjournal.ru/eng/4/3/pdf/RJCSVol4No2_3.pdf#page=38	Simon task with objects	yes	1	Results only in Russian	no	EP	EP can translate	1			DFD_KM		1	
328	"Cohen, A., & Magen, H. (2004). 2 Hierarchical systems of attention and action.
 Attention in Action: Advances from Cognitive Neuroscience, 27."		2004					0	duplicate		HL		0	but there may be no SDs for coding		EB		0	duplicates 185
329	"Lane, C. A. (1997). The degree of relationship between tests of cognitive 
 mechanisms. University of Nevada, Las Vegas."		1997					0			JW		0			HL		0	Dissertation
330	"Fiddes, N. (2012). Tactile Temporal Ordering Judgments with Tools: Evidence
 for Performance that Depends on Hand but Not Tool Location, and on Response Type for Females (Doctoral dissertation)."		2012					0	doctoral dissertation		JW	doctoral dissertation	0	Master thesis		LD_HP		0	Dissertation
